idH,score_C1,score_C2,score_C4,score_C5,score_C6,score_C7,score_C8,score_C9,avg
ANT2_TS,30.0,100.0,25.4538,37.5119,100.0,48.7632,36.4863,68.2559,55.8088875
ANT2_VND,30.0,100.0,18.9473,31.282,100.0,37.4449,40.5632,80.7425,54.8724875
ANT2_VND2,70.0,100.0,29.2115,25.6129,100.0,65.8005,34.6895,75.3085,62.577862499999995
ANT_TS,70.0,100.0,38.0857,34.1356,100.0,31.7016,32.7468,50.0496,57.0899125
ANT_VND,30.0,100.0,30.0762,36.8089,100.0,25.2116,21.994,85.9895,53.760025
ANT_VND2,30.0,100.0,42.5622,43.1811,100.0,41.5081,31.8177,61.5505,56.32745
GRASP_RG_TS,30.0,100.0,89.6602,95.0752,100.0,69.0966,53.2396,69.2281,75.7874625
GRASP_RG_VND,100.0,100.0,97.8571,100.0,100.0,55.178,87.5476,94.8571,91.92997500000001
GRASP_RG_VND2,30.0,100.0,90.3356,97.6989,100.0,100.0,98.666,86.3194,87.87748749999999
KIEst,30.0,100.0,40.0844,46.5028,100.0,7.552,31.0164,0.0,44.394450000000006
